"","X","Company","Parent.Company","Location","City","County","Address","Zip","Project.Description","NAICS.Industry.Code","Year","Subsidy.Value","Megadeal.Contribution","Subsidy.Value.Adjusted.For.Megadeal","Program.Name","Awarding.Agency","Type.of.Subsidy","Number.of.Jobs.or.Training.Slots","Wage.Data","Wage.Data.Type","Investment.Data","Value.of.Exempted.Property","Source.of.Data","Notes","Subsidy.Source","CFDA.Program.Number","Loan.Value","State.in.Which.Facility.Is.Located","HQ.State.of.Parent","HQ.Country.of.Parent","Ownership.Structure","Major.Industry.of.Parent","Specific.Industry.of.Parent","Megadeal.Subsidy.Value.in.2023.Dollars","subs_m","Sector","investment_m","Seq..No.","X2022.NAICS.US.Code","X4"
"39",254624,"Stellantis","Stellantis","Indiana","Kokomo","Howard","",NA,"battery manufacturing plant",NA,2022,186600000,"$186,600,000","$186,600,000","multiple","multiple","MEGADEAL",1400,"$32.07","average wage",2500000000,0,"State subsidies were taken from a May 24, 2022 Indiana Economic Development Corporation press release ""Stellantis, Samsung SDI Announce Joint Venture to Invest Over $2.5B in New EV Battery Manufacturing Facility in Indiana,"" https://www.iedc.in.gov/news/details/2022/05/24/stellantis-samsung-sdi-announce-joint-venture-to-invest-over-2.5b-in-new-ev-battery-manufacturing-facility-in-indiana; Kokomo subsidies based on: Kokomo Common Council, July 25, 2022 meeting agenda: https://cms4files1.revize.com/kokomoin/document_center/council_packet/Council%20Packet%207-25-2022.pdf and minutes of the  meetings: https://cms4files1.revize.com/kokomoin/document_center/Council_minutes/KOKOMO%20COMMON%20COUNCIL%20PUBLIC%20HEARING%20MINUTES%2007-25-2022.pdf. See also: Tyler Juranovich, ""Local incentives for EV battery plant include 100% abatements,"" Kokomo Tribune, July 27, 2022, Via LexisNexis.","Stellantis, Chrysler corporate parent, will open an EV battery manufacturing plant in Kokomo where the company has existing facilities. The project is a cooperation with Samsung. The state package includes: $100 million in ""performance payments,"" $37.5 million in tax credits, $25 million for site preparation, $20 million in investment-based redevelopment tax credits; a $2 million grant for workforce development training; a $2 million grant from the Industrial Development Grant Fund for infrastructure improvements to the city and the county. Kokomo approved 100% property tax abatement for 20 years; 100% real property tax abatement for 10 years. On top of that, a TIF district was created for the plant and the company will be able to access the increment for 10 years. The city also agreed to perform and pay for a series of infrastructure improvement projects. In addition, the city will pay for or wave various permits at the cost of $100,000. None of the city subsidy values have not been estimated. Kokomo's deal was done under ""StarPlus Energy LLC"". Overlaps with main data: none.","multiple",NA,NA,NA,"","Netherlands","publicly traded","motor vehicles","motor vehicles",NA,186.6,"Motor Vehicle Manufacturing",2500,807,3361,NA
"40",199278,"OGE ENERGY CORP AND SUBS","OGE Energy","Oklahoma","","",NA,NA,"",NA,2021,178046942,"$0","$178,046,942","Oklahoma Investment/New Jobs Credit","Oklahoma Tax Commission","tax credit/rebate",NA,NA,NA,NA,0,"https://data.ok.gov/dataset/state-of-oklahoma-tax-credits","Year is FY. Subsidy is credit amount for that year. Year is when the credit was claimed by the company. Subsidy was awarded in 2018.","state",NA,NA,NA,"Oklahoma","USA","publicly traded","utilities and power generation","energy generation",NA,178.046942,"Utilities",NA,173,22,NA
"41",109337,"Ford Motor","Ford Motor","Michigan","","","",NA,"traditional and EV car production expansion",NA,2022,150000000,"$150,000,000","$150,000,000","multiple","multiple","MEGADEAL",2000,"","",2000000000,0,"The deal details are taken from: Phoebe Wall Howard and Dave Boucher, ""Ford investing $3.7B to create 6,200 jobs in Michigan, Ohio, Missouri,"" Detroit Free Press, June 2, 2022: https://www.freep.com/story/money/cars/ford/2022/06/02/ford-invests-ohio-michigan-missouri-ev/7480389001/","In June 2022, Ford announced investments across Michigan, Ohio, and Missouri. Michigan provided the company a $100 million grant through Critical Industry Program and$50 million in property tax exemptions. The company will invest in several locations across the state (Dearborn, Wayne, Flat Rock, Monroe) creating approximately 2,000 jobs. The company investment is to produce EVs as well as traditional cars. See related Ohio megadeal; Missouri did not offer subsidies. Overlaps with main data: none.","multiple",NA,NA,NA,"Michigan","USA","publicly traded","motor vehicles","motor vehicles",NA,150,"Motor Vehicle Manufacturing",2000,807,3361,NA
"42",98391,"Enel North America","Enel","Oklahoma","Inola","Rogers",NA,NA,"Solar cell and panel manufacturing facility",NA,2023,138620000,"$138,620,000","$138,620,000","multiple","multiple","MEGADEAL",1000,"","",1000000000,0,"Sean Murphy, May 22, 2023, ""Oklahoma lures Enel solar panel manufacturing facility with $180M incentive package,"" Associated Press, https://apnews.com/article/enel-oklahoma-solar-panel-manufacturing-plant-inola-07d0c77496b0b0dc28647b9840828ab0. See additional details about the Perform Act: http://www.oklegislature.gov/BillInfo.aspx?Bill=sb1177&Session=2300.","Enel North America plans to build a solar cell and panel factory at the Tulsa Port of Inola industrial site. The company is eligible for performance-based tax rebates equal to 10% of eligible capital expenditures, which will pay out as the company reaches hiring and investment benchmarks. Job creation and investment figures are company projections based on the current scope of the project, though Enel has said those could increase. To receive the maximum $180 million in rebates, the company will ultimately need to hire 1,400 workers and invest $1.8 billion. Subsidy total based on tax rebates for first phase of project only. The state legislature also appropriated $38,620,000 to the Oklahoma Water Resources Board for water and wastewater infrastructure upgrades at the project site. Overlap with main data: None.","state",NA,NA,NA,"","Italy","publicly traded","utilities and power generation","utilities",NA,138.62,"Utilities",1000,173,22,NA
"43",109338,"Ford Motor","Ford Motor","Ohio","Avon Lake","Lorain","","","traditional and EV car production expansion",NA,2022,205000000,"$135,000,000","$135,000,000","multiple","multiple","MEGADEAL",1800,"","",1500000000,0,"The deal details are taken from: Phoebe Wall Howard and Dave Boucher, ""Ford investing $3.7B to create 6,200 jobs in Michigan, Ohio, Missouri,"" Detroit Free Press, June 2, 2022: https://www.freep.com/story/money/cars/ford/2022/06/02/ford-invests-ohio-michigan-missouri-ev/7480389001/","In June 2022, Ford announced investments across Michigan, Ohio, and Missouri. Ohio provided the company with a $135 million grant through Jobs Ohio and $70 million through job creation credits. Investment in Ohio is mostly for production of EVs at Avon Lake plant; the company will also add jobs at Lima engine and Sharonville transmission plants. See related Michigan megadeal; Missouri did not offer subsidies. Overlaps with main data: 2022 Job Creation Tax Credit ($70M).","multiple",NA,NA,NA,"Michigan","USA","publicly traded","motor vehicles","motor vehicles",NA,135,"Motor Vehicle Manufacturing",1500,807,3361,NA
"44",121116,"Gotion","Volkswagen","Michigan","Big Rapids","","22225 18 Mile Road",NA,"",NA,2023,125000000,"$0","$125,000,000","Critical Industry Program","Michigan Economic Development Corporation","tax credit/rebate",2350,"","",2364000000,0,"https://maps.michiganbusiness.org/","Year is fiscal year. Subsidy value is approved amount. Jobs are jobs committed. For subsides actually paid and jobs actually created see the original disclosure.","state",NA,NA,NA,"","Germany","publicly traded","motor vehicles","motor vehicles",NA,125,"Motor Vehicle Manufacturing",2364,807,3361,NA
"45",121121,"Gotion, Inc.","Volkswagen","Illinois","Manteno","","333 S Spruce","","Gotion, Inc. will construct a lithium-ion battery cell, module, pack production and energy storage system integration facility at 333 South Spruce Street in Manteno, Illinois. The Project seeks to produce 10GWh Pack + 20GWh Cells by end of 2028 (Phase I) with an expansion to 10GWh Pack + 40GWh Cells (Phase II) by the end of 2034.   Phase 1 â‚¬Å¡Ãƒâ€žÃƒÂ¬ December 31, 2029 â‚¬Å¡Ãƒâ€žÃƒÂ¬ 1,651 jobs and $1,169,522,288 capital investment (2033 is final date to reach goal)  Phase 2 December 31, 2033 2,612 jobs and $1,905,921,211",NA,2024,125000000,"$0","$125,000,000","Invest In Illinois-Closing Fund","Department of Commerce and Economic Opportunity","grant",NA,"","",NA,0,"https://dceoapps.ildceo.net/granttracker/gt/","Year is year grant began.","state",NA,NA,NA,"","Germany","publicly traded","motor vehicles","motor vehicles","$0",125,"Motor Vehicle Manufacturing",NA,807,3361,NA
"46",99301,"Envision AESC","Envision AESC","Kentucky","Bowling Green","Warren","",NA,"EV battery manufacturing",NA,2022,121800000,"$121,800,000","$121,800,000","multiple","multiple","MEGADEAL",2000,"","",2000000000,0,"An April 13, 2022 Gov. Beshear's press release: â€œGov. Beshear: Envision AESC's Investment in 30GWh Kentucky Gigafactory Creates 2,000 New Jobs and Solidifies the Commonwealth as New Electric Vehicle Battery Capital""; https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=1273. Warren County Fiscal Court Meeting Minute for May 6, 2022: Warren Fiscal Court Meeting: https://drive.google.com/drive/folders/1La6dOkSMCV8MSgicYk0WPDkuViVwdffp","The gigafactory will be located in the Kentucky Transpark. The company promised to power the plant with 100% renewable energy sold by The Tennessee Valley Authority. The state offered $116.8 million from unspecified subsidy programs and up to $5 million for workforce training from the grant-in-aid program. On May 6, 2022, Warren County approved $4 billion Industrial Revenue Bonds (payable by the company) and a PILOT agreement, however, no other information is available. Overlaps with main data: none.","multiple",NA,NA,NA,"","Japan","privately held","miscellaneous energy products and systems","electric vehicle batteries",NA,121.8,"Engine, Turbine, and Power Transmission Equipment Manufacturing",2000,716,3336,NA
"47",61301,"Canoo","Canoo Inc.","Oklahoma","","",NA,NA,"EV manufacturing facility",NA,2023,114000000,"$114,000,000","$114,000,000","multiple","multiple","MEGADEAL",1362,"$60,512","Average annual wage",321600000,0,"Clifton Adcock, ""Canoo could collect up to $110 million in state incentives over the next decade, but three previous Oklahoma deals fell through,"" The Frontier, August 21, 2023, https://www.readfrontier.org/stories/canoo-could-collect-up-to-110-million-in-state-incentives-over-the-next-decade-but-three-previous-oklahoma-deals-fell-through/. For more information on the company's previous subsidy offers in Oklahoma, see Brianna Bailey, ""Land and millions of dollars for infrastructure are part of a deal to lure a startup electric car maker to Oklahoma,"" The Frontier, October 13, 2021, https://www.readfrontier.org/stories/land-and-millions-of-dollars-for-infrastructure-are-part-of-a-deal-to-lure-a-startup-electric-car-maker-to-oklahoma/; article appendix breaking down subsidies: https://documentcloud.adobe.com/link/review?uri=urn:aaid:scds:US:d78e8cad-8e8f-4c61-ba75-ad5bfabf53fc#pageNum=3; NDA at https://documentcloud.adobe.com/link/review?uri=urn:aaid:scds:US:20987bfc-f200-4d1b-9f42-5036d9fbf352#pageNum=3.","In June 2021, Canoo, an electric vehicle start-up company, announced plans to build a production complex at the state-run Mid-America Industrial Park near Pryor and a tech hub in Tulsa with $300 million in pledged incentives from the state. Those deals have since been cancelled and the company now intends to instead proceed with a battery plant in Pryor and a factory in Oklahoma City. Canoo's VP has said that the Tulsa tech hub ""remains part of Canoo's future plans."" For these two projects, the company is eligible for up to $114 million in state and local support: $40 million over 10 years through the state's Quality Jobs Program, $7.5 million from the Governor's Quick Action Closing Fund, $28 million in Investment/New Jobs tax credits, sales and use tax exemptions worth at least $27.6 million, $5.4 million through the state's freeport tax exemption, $1.9 million through the Oklahoma Training Incentive Program, $1.7 million in automotive engineer tax credits, $663,312 from the Cherokee Nation's workforce development program, and $1 million through Oklahoma City's Strategic Investment Program. Canoo's battery plant in Pryor could also be eligible for $208 million in federal income tax credits between 2025 and 2032 through the IRA's 45X Advanced Manufacturing Production Credit (not included in Megadeal total). Job, wage, and investment information are requirements to receive Quick Action Closing Fund subsidy. Overlaps with main data: none.","multiple",NA,NA,NA,"California","USA","publicly traded","motor vehicles","electric vehicles",NA,114,"Motor Vehicle Manufacturing",321.6,807,3361,NA
"48",111727,"Fujifilm Diosynth Biotechnologies","Fujifilm","North Carolina","Holly Springs","Wake",NA,"27540","drug product manufacturing facility",NA,2021,125000000,"$105,275,750","$105,275,750","multiple","multiple","MEGADEAL",725,"$99,848","target average annual wage",1500000000,0,"Lauren Ohnesorge, ""Behind the deal: How Holly Springs beat Texas for Fujifilm's $2B, 725-job project,"" Triangle Business Journal, September 16, 2021, Via LexisNexis. North Carolina Department of Commerce, Job Development Investment Grant, 2021 Annual Report: https://www.commerce.nc.gov/annual-report-job-development-investment-grant-jdig/download?attachment.  A March 18, 2021 press release from Gov. Cooper Office, ""Governor Cooper Announces North Americaa's Largest End-to-End Biopharmaceutical Manufacturing Facility Coming to N.C. as FUJIFILM Diosynth Biotechnologies Selects Wake County"" https://www.commerce.nc.gov/news/press-releases/governor-cooper-announces-north-america%E2%80%99s-largest-end-end-biopharmaceutical. Wake County Board of Commissioners, various documents from 5/03/2021 meeting https://wake.legistar.com/LegislationDetail.aspx?ID=4927274&GUID=723CD6D4-ADEC-493E-B79C-CD292025FD89&Options=&Search=; Holly Springs, Annual Comprehensive Financial Report, 2022: https://www.hollyspringsnc.us/DocumentCenter/View/40480/Annual-Comprehensive-Financial-Report-2022","A Triangle Business Journal article states that the total state and local subsidy package for the company was $125 million. We were able to document: $19.7 million from Job Development Investment Grant; $2 million from One NC Fund; $4 million from Golden LEAF for sewer system upgrade; $45 million grant (a rebate of 50% of property taxes over 10 years) from Wake County; the article states $31.4 million from Holly Springs, which includes $22 million that the city spent on land for the company. The company promised to create 725 new jobs and to retain 664 jobs. Overlaps: a 2021 entry from JDIG for $19,724,250.","multiple",NA,NA,NA,"","Japan","publicly traded","electrical and electronic equipment","imaging products",NA,105.27575,"Electrical Equipment, Appliance, and Component Manufacturing",1500,777,335,NA
"49",109372,"Ford Motor Company","Ford Motor","Michigan","Dearborn","","3001 Miller Rd",NA,"",NA,2023,100800000,"$0","$100,800,000","Critical Industry Program","Michigan Economic Development Corporation","tax credit/rebate",3260,"","",2014000000,0,"https://maps.michiganbusiness.org/","Year is fiscal year. Subsidy value is approved amount. Jobs are jobs committed. For subsides actually paid and jobs actually created see the original disclosure.","state",NA,NA,NA,"Michigan","USA","publicly traded","motor vehicles","motor vehicles",NA,100.8,"Motor Vehicle Manufacturing",2014,807,3361,NA
"50",272077,"Toyota Battery Manufacturing, Inc.","Toyota","North Carolina","","Randolph",NA,NA,"",NA,2021,79107200,"$0","$79,107,200","Job Development Investment Grant","Department of Commerce","grant",1750,"$62,234","Target average annual wage",1272000000,0,"https://www.commerce.nc.gov/media/4091/download?attachment","Year is calendar year of award approval. Subsidy value is maximum state liability to the company. Jobs data are target jobs. Investment data is target investment. Withholding amount is 80%. Number of Grant Years: 20","state",NA,NA,NA,"","Japan","publicly traded","motor vehicles","motor vehicles",NA,79.1072,"Motor Vehicle Manufacturing",1272,807,3361,NA
"51",183103,"Microsoft Corporation","Microsoft","Washington",NA,NA,NA,NA,NA,NA,2022,76329208,"$0","$76,329,208","Data Center Sales & Use Tax Exemption","Department of Revenue","Tax Credit/Rebate",NA,NA,NA,NA,0,"https://secure.dor.wa.gov/gteunauth/_/#1","Subsidy value is the amount for the year.","state",NA,NA,NA,"Washington","USA","publicly traded","information technology","software","$0",76.329208,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",NA,1402,518,NA
"52",133280,"Honda Development & Manufacturing of America, LLC","Honda","Ohio","","Fayette","","","",NA,2022,71300000,"$0","$71,300,000","Job Creation Tax Credit","Ohio Department of Development","tax credit/rebate",10550,"","",4210000000,0,"https://data.ohio.gov/wps/portal/gov/data/view/department-of-development-tax-incentives","Year is approval year. Amount is original estimated value of the tax credit. Investment is committed amount. Subsidy term: 30 years. Jobs are 2527 new jobs and 8023 retained jobs.","state",NA,NA,NA,"","Japan","publicly traded","motor vehicles","motor vehicles",NA,71.3,"Motor Vehicle Manufacturing",4210,807,3361,NA
"53",109365,"Ford Motor Company","Ford Motor","Ohio","","Lorain","","44012","",NA,2022,70000000,"$0","$70,000,000","Job Creation Tax Credit","Ohio Department of Development","tax credit/rebate",3660,"","",1500000000,0,"https://data.ohio.gov/wps/portal/gov/data/view/department-of-development-tax-incentives","Year is approval year. Amount is original estimated value of the tax credit. Investment is committed amount. Subsidy term: 30 years. Jobs are 2000 new jobs and 1660 retained jobs.","state",NA,NA,NA,"Michigan","USA","publicly traded","motor vehicles","motor vehicles",NA,70,"Motor Vehicle Manufacturing",1500,807,3361,NA
"54",183105,"Microsoft Corporation","Microsoft","Washington",NA,NA,NA,NA,NA,NA,2023,68372076,"$0","$68,372,076","Data Center Sales & Use Tax Exemption","Department of Revenue","Tax Credit/Rebate",NA,NA,NA,NA,0,"https://secure.dor.wa.gov/gteunauth/_/","Subsidy value is the amount for the year.","state",NA,NA,NA,"Washington","USA","publicly traded","information technology","software","$0",68.372076,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",NA,1402,518,NA
"55",203763,"Our Next Energy, Inc. (ONE)","Our Next Energy Inc.","Michigan","Van Buren Charter Township","","42060 Ecorse Road",NA,"",NA,2023,68264650,"$0","$68,264,650","Industrial Property Tax Abatement","Michigan Economic Development Corporation","tax credit/rebate",2112,"","",NA,0,"https://maps.michiganbusiness.org/","Year is fiscal year. Subsidy value is approved amount. Jobs are jobs committed. For subsides actually paid and jobs actually created see the original disclosure.","state",NA,NA,NA,"Michigan","USA","privately held","miscellaneous energy products and systems","energy products",NA,68.26465,"Engine, Turbine, and Power Transmission Equipment Manufacturing",NA,716,3336,NA
"56",35985,"BMW Manufacturing","BMW","South Carolina","Greer","Spartanburg","",NA,"Electric vehicle and battery plants",NA,2022,65000000,"$65,000,000","$65,000,000","multiple","multiple","MEGADEAL (Archived)",300,"","",1700000000,0,"An October 19, 2022 press release from the SC Commerce Department: ""Investment will create 300 jobs and prepare for production of electric vehicles"": https://www.sccommerce.com/news/bmw-investing-17-billion-expand-sc-manufacturing-capacity-and-footprint. SC Department of Commerce, Enterprise Zone Activity Report for 2022: https://www.sccommerce.com/sites/default/files/2023-05/Enterprise%20Zone%20Annual%20Report%202022%20%285.12.23%29.pdf","In October 2022, BMW announced a $1 billion investment in EV manufacturing at its existing plant in Spartanburg and $700 million investment in a facility near Woodruff where EVs batteries will be assembled (partnership with Envision AESC: see a separate 2022 megadeal for Envision). BMW was approved by the state for a $65 million grant for the Spartanburg plant and an undisclosed amount via Job Development Grant. The 300 jobs will be created in the new battery facility in Woodruff; no new jobs were committed at the Spartanburg plant. Overlaps: a 2022 entry with undisclosed value via Enterprise Zone Job Development Credit.","state",NA,NA,NA,"""""","Germany","publicly traded","motor vehicles","motor vehicles","$67,681,344",65,"Motor Vehicle Manufacturing",1700,807,3361,NA
"57",202755,"Oracle America, Inc.","Oracle","Tennessee","","Davidson",NA,NA,"Recruitment",NA,2021,65000000,"$0","$65,000,000","FastTrack Economic Development Program","Department of Economic and Community Development","grant",8500,"","",1350000000,0,"https://www.tn.gov/transparenttn/state-financial-overview/open-ecd/openecd/fasttrack-project-database.html","Subsidy value is amount of funds received. Jobs and investment figures are projected.","state",NA,NA,NA,"California","USA","publicly traded","information technology","software",NA,65,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",1350,1402,518,NA
"58",183099,"Microsoft Corporation","Microsoft","Washington",NA,NA,NA,NA,NA,NA,2021,62554182,"$0","$62,554,182","Data Center Sales & Use Tax Exemption","Department of Revenue","tax credit/rebate",NA,NA,NA,NA,0,"https://secure.dor.wa.gov/gteunauth/_/#195","Subsidy value is the amount for the year.","state",NA,NA,NA,"Washington","USA","publicly traded","information technology","software",NA,62.554182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",NA,1402,518,NA
"59",283904,"Volkswagen","Volkswagen","Tennessee","Chattanooga","Hamilton",NA,NA,"EVs production, SUVs",NA,2022,55000000,"$55,000,000","$55,000,000","multiple","multiple","MEGADEAL",1000,"","",800000000,0,"City of Chattanooga, Open Budget entry at https://budget.chattanooga.gov/#!/year/2020/capital/0/project/FY20-78/0/service; See also: Mike Pare and Andy Sher, â€œLee proposes $50 million state incentive grant for Volkswagen electric vehicle plant""â€š March 4, 2019: https://www.timesfreepress.com/news/2019/mar/04/lee-state-incentive-grant-volkswagen-electric-vehi/","In 2019, the second Memorandum of Understanding between Volkswagen and the State of Tennessee/Chattanooga Industrial Development Board was delayed until 2022, when it has come before the Chattanooga IDB on October 3rd. Documents from a 2021 meeting of the State Building Commission show that the $50,000,000 grant comes from the state, while the city and county were asked to match $2,500,000 each for a total of $55,000,000.","multiple",NA,NA,NA,"","Germany","publicly traded","motor vehicles","motor vehicles",NA,55,"Motor Vehicle Manufacturing",800,807,3361,NA
